symbol,name,price,change,percentchange,volume,avgvolume,marketcap,pbyeratio,fiftytwoweekpercentchange
 SBAC   ,SBA Communications Corporation,204.18,6.95,+3.52%,"881,826","893,824 ",21.954B,32.26 ,-11.56% 
 CNH   ,CNH Industrial N.V.,12.05,0.41,+3.52%,7.092M,10.798M ,15.05B,8.55 ,-0.09% 
 EXC   ,Exelon Corporation,39.34,1.32,+3.47%,5.044M,6.367M ,39.53B,16.19 ,12.27% 
 KC   ,Kingsoft Cloud Holdings Limited,9.91,0.33,+3.44%,1.164M,3.636M ,2.353B,- ,261.51% 
 HLNE   ,Hamilton Lane Incorporated,149.59,4.98,+3.44%,"339,637","409,455 ",8.292B,32.45 ,21.82% 
 TLN   ,Talen Energy Corporation,234.16,7.77,+3.43%,1.534M,"906,491 ",10.762B,- ,247.76% 
 STVN   ,Stevanato Group S.p.A.,22.91,0.76,+3.43%,"301,028","465,710 ",6.252B,52.07 ,-21.84% 
 ACHR   ,Archer Aviation Inc.,9.09,0.3,+3.41%,25.964M,37.459M ,4.56B,- ,73.72% 
 FLS   ,Flowserve Corporation,62.75,2.07,+3.41%,2.481M,1.253M ,8.244B,30.91 ,54.52% 
 GSHD   ,"Goosehead Insurance, Inc",114.59,3.76,+3.39%,"208,421","241,566 ",4.113B,159.15 ,46.85% 
 FTAI   ,FTAI Aviation Ltd.,120.0,3.92,+3.38%,8.445M,1.706M ,12.306B,- ,131.42% 
 BTDR   ,Bitdeer Technologies Group,21.54,0.7,+3.36%,4.304M,7.793M ,4.146B,- ,225.62% 
 JOBY   ,"Joby Aviation, Inc.",8.37,0.27,+3.33%,11.357M,20.438M ,6.404B,- ,43.87% 
 ASML   ,ASML Holding N.V.,750.28,23.98,+3.30%,2.329M,1.749M ,297.153B,41.31 ,-1.00% 
 PPL   ,PPL Corporation,33.17,1.06,+3.30%,6.655M,4.468M ,24.478B,29.88 ,27.53% 
 TPX   ,"Tempur Sealy International, Inc.",59.54,1.9,+3.30%,1.796M,1.45M ,10.339B,27.19 ,16.75% 
 CRBG   ,"Corebridge Financial, Inc.",31.7,1.01,+3.29%,4.976M,3.65M ,17.911B,- ,26.40% 
 HEI-A   ,HEICO Corporation,187.14,5.92,+3.27%,"363,964","227,329 ",28.661B,50.85 ,35.02% 
 CART   ,Maplebear Inc.,46.58,1.47,+3.26%,3.29M,4.2M ,11.966B,4.27 ,73.43% 
 VMI   ,"Valmont Industries, Inc.",336.0,10.6,+3.26%,"167,261","133,416 ",6.732B,22.84 ,46.41% 
 CRSP   ,CRISPR Therapeutics AG,40.3,1.26,+3.23%,1.612M,1.785M ,3.44B,- ,-37.02% 
 ERJ   ,Embraer S.A.,39.73,1.24,+3.22%,2.194M,1.059M ,7.297B,14.66 ,129.39% 
 PODD   ,Insulet Corporation,272.86,8.48,+3.21%,"656,992","564,481 ",19.14B,46.48 ,33.45% 
 BWIN   ,"The Baldwin Insurance Group, Inc.",40.87,1.27,+3.21%,"408,931","705,156 ",2.762B,- ,54.21% 
 POWL   ,"Powell Industries, Inc.",257.23,7.99,+3.21%,"220,672","458,268 ",3.102B,20.93 ,220.70% 
 THO   ,"THOR Industries, Inc.",103.95,3.22,+3.20%,"881,255","555,522 ",5.532B,26.52 ,-8.69% 
 WBA   ,"Walgreens Boots Alliance, Inc.",12.93,0.4,+3.19%,18.354M,23.651M ,11.173B,- ,-41.23% 
 ZLAB   ,Zai Lab Limited,25.38,0.78,+3.17%,"439,864","932,151 ",2.765B,- ,4.95% 
 LNG   ,"Cheniere Energy, Inc.",253.66,7.78,+3.16%,2.358M,1.729M ,56.912B,16.12 ,57.50% 
 OGE   ,OGE Energy Corp.,42.37,1.29,+3.14%,"854,050",1.073M ,8.514B,21.29 ,27.81% 
 COLD   ,"Americold Realty Trust, Inc.",21.39,0.65,+3.13%,1.826M,2.05M ,6.08B,- ,-29.41% 
 HEI   ,HEICO Corporation,235.58,7.15,+3.13%,"826,715","539,855 ",28.623B,64.02 ,33.56% 
 DTM   ,"DT Midstream, Inc.",112.27,3.4,+3.12%,"940,570","920,600 ",11.376B,26.48 ,102.59% 
 YY   ,JOYY Inc.,41.67,1.25,+3.09%,"409,749","502,663 ",2.176B,12.48 ,35.41% 
 OS   ,"OneStream, Inc.",28.79,0.86,+3.08%,1.857M,1.163M ,6.752B,- ,4.02% 
 AAP   ,"Advance Auto Parts, Inc.",45.73,1.36,+3.07%,1.109M,2.381M ,2.732B,57.89 ,-28.27% 
 TOELY   ,Tokyo Electron Limited,86.0,2.55,+3.06%,"44,384","155,491 ",78.938B,26.88 ,-11.88% 
 NI   ,NiSource Inc.,38.03,1.12,+3.03%,3.376M,3.594M ,17.752B,23.19 ,48.55% 
 GWRE   ,"Guidewire Software, Inc.",179.76,5.29,+3.03%,"983,969","930,621 ",15.013B,485.84 ,55.97% 
 LRLCY   ,L'Oréal S.A.,69.79,2.05,+3.03%,"43,791","373,937 ",186.448B,27.16 ,-25.19% 
 DOCN   ,"DigitalOcean Holdings, Inc.",35.27,1.03,+3.01%,1.098M,"875,928 ",3.255B,39.63 ,-1.21% 
 AEE   ,Ameren Corporation,93.86,2.74,+3.01%,1.143M,1.347M ,25.054B,22.08 ,35.48% 
 NEE   ,"NextEra Energy, Inc.",71.37,2.08,+3.00%,11.457M,10.488M ,146.765B,21.18 ,24.64% 
 FNMA   ,Federal National Mortgage Association,5.40,-0.81,-13.04%,13.054M,19.46M ,6.254B,- ,390.91% 
 APGE   ,"Apogee Therapeutics, Inc.",36.70,-3.76,-9.29%,1.028M,"476,793 ",2.302B,- ,20.09% 
 QXO   ,"QXO, Inc.",13.71,-1.31,-8.72%,3.944M,2.187M ,5.613B,24.05 ,-86.58% 
 JANX   ,"Janux Therapeutics, Inc.",40.61,-3.32,-7.56%,"851,421",1.099M ,2.381B,- ,374.92% 
 KYMR   ,"Kymera Therapeutics, Inc.",40.29,-3.27,-7.51%,"753,088","464,490 ",2.609B,- ,58.46% 
 PVH   ,PVH Corp.,92.20,-6.81,-6.88%,2.504M,"801,786 ",5.129B,7.55 ,-23.66% 
 VKTX   ,"Viking Therapeutics, Inc.",32.56,-2.3,-6.60%,4.988M,4.579M ,3.628B,- ,60.13% 
 FRO   ,Frontline plc,17.49,-1.21,-6.47%,5.009M,3.136M ,4.163B,7.60 ,-21.36% 
 TRMD   ,TORM plc,20.95,-1.4,-6.26%,1.688M,1.321M ,2.208B,2.89 ,-35.55% 
 NSANY   ,"Nissan Motor Co., Ltd.",5.28,-0.34,-6.05%,"51,587","670,404 ",9.654B,10.35 ,-31.96% 
 UNH   ,UnitedHealth Group Incorporated,510.59,-32.83,-6.04%,9.047M,4.694M ,500.101B,35.33 ,1.40% 
 IMPUY   ,Impala Platinum Holdings Limited,5.22,-0.33,-5.95%,"37,224","314,186 ",4.715B,- ,34.19% 
 MGNI   ,"Magnite, Inc.",15.14,-0.95,-5.90%,2.343M,1.815M ,2.13B,116.46 ,79.78% 
 INFY   ,Infosys Limited,21.57,-1.32,-5.77%,22.92M,7.446M ,89.344B,28.01 ,7.90% 
 EXAS   ,Exact Sciences Corporation,50.44,-3.08,-5.75%,5.945M,2.585M ,9.335B,- ,-23.40% 
 MLTX   ,MoonLake Immunotherapeutics,41.47,-2.5,-5.69%,"450,344","250,358 ",2.615B,- ,-17.86% 
 USB   ,U.S. Bancorp,48.03,-2.87,-5.64%,17.254M,7.662M ,74.928B,14.78 ,14.33% 
 PTON   ,"Peloton Interactive, Inc.",8.49,-0.48,-5.35%,13.829M,17.502M ,3.239B,- ,61.04% 
 WULF   ,TeraWulf Inc.,5.85,-0.33,-5.34%,33.491M,29.313M ,2.258B,- ,323.91% 
 EWTX   ,"Edgewise Therapeutics, Inc.",26.72,-1.48,-5.25%,"945,285","809,856 ",2.53B,- ,116.26% 
 SNAP   ,Snap Inc.,11.22,-0.62,-5.24%,34.798M,30.48M ,19.858B,- ,-27.89% 
 ECG   ,"Everus Construction Group, Inc.",66.29,-3.66,-5.23%,"641,440","618,101 ",3.379B,26.62 ,42.76% 
 TXN   ,Texas Instruments Incorporated,187.37,-10.14,-5.13%,7.458M,5.721M ,170.922B,34.89 ,7.90% 
 ZIM   ,ZIM Integrated Shipping Services Ltd.,16.62,-0.89,-5.08%,7.066M,6.403M ,2.108B,1.47 ,36.05% 
 SMTC   ,Semtech Corporation,68.93,-3.58,-4.94%,3.4M,1.719M ,5.94B,- ,225.14% 
 WMMVY   ,"Wal-Mart de México, S.A.B. de C.V.",26.49,-1.36,-4.88%,"63,908","177,283 ",48.893B,18.65 ,-33.48% 
 CRL   ,"Charles River Laboratories International, Inc.",165.80,-8.11,-4.66%,2.606M,"738,978 ",8.893B,21.70 ,-21.80% 
 CEPU   ,Central Puerto S.A.,13.67,-0.64,-4.47%,"415,698","387,096 ",2.054B,11.20 ,57.43% 
 NTES   ,"NetEase, Inc.",99.31,-4.61,-4.44%,1.905M,1.376M ,64.005B,17.15 ,8.30% 
 CMBT   ,Cmb.Tech NV,11.16,-0.49,-4.21%,"66,173","115,258 ",2.171B,1.87 ,-33.81% 
 TEO   ,Telecom Argentina S.A.,12.56,-0.54,-4.12%,"151,652","269,406 ",4.179B,13.08 ,69.27% 
 PAGS   ,PagSeguro Digital Ltd.,6.64,-0.28,-4.05%,4.879M,5.446M ,2.159B,6.71 ,-45.08% 
 AAPL   ,Apple Inc.,228.26,-9.61,-4.04%,68.999M,45.54M ,3.577T,39.09 ,19.16% 
 CAAP   ,Corporación América Airports S.A.,18.54,-0.78,-4.04%,"134,875","161,116 ",2.987B,8.87 ,20.98% 
 KGC   ,Kinross Gold Corporation,10.23,-0.43,-4.03%,24.865M,17.433M ,13.084B,17.64 ,89.44% 
 HAFN   ,Hafnia Limited,5.73,-0.24,-4.02%,2.017M,2.568M ,2.874B,3.39 ,-19.05% 
 SIG   ,Signet Jewelers Limited,56.59,-2.33,-3.95%,2.927M,1.286M ,2.461B,6.62 ,-42.91% 
 UPWK   ,Upwork Inc.,16.37,-0.66,-3.88%,2.044M,2.407M ,2.188B,26.40 ,17.29% 
 CFLT   ,"Confluent, Inc.",26.74,-1.07,-3.85%,7.364M,3.829M ,8.771B,- ,26.47% 
 HCM   ,HUTCHMED (China) Limited,13.32,-0.53,-3.83%,"160,735","77,838 ",2.634B,- ,-2.94% 
 SLAB   ,Silicon Laboratories Inc.,132.50,-5.12,-3.72%,"279,457","301,221 ",4.299B,- ,4.88% 
 PTGX   ,"Protagonist Therapeutics, Inc.",36.54,-1.4,-3.69%,"630,245","672,456 ",2.178B,13.34 ,53.17% 
 PAM   ,Pampa Energía S.A.,89.01,-3.41,-3.69%,"151,390","277,427 ",5.777B,9.08 ,86.29% 
 STNE   ,StoneCo Ltd.,8.42,-0.32,-3.66%,5.931M,5.425M ,2.499B,8.02 ,-48.68% 
 STNG   ,Scorpio Tankers Inc.,54.42,-2.06,-3.65%,"904,288","994,052 ",2.75B,3.90 ,-16.42% 
 GBOOY   ,"Grupo Financiero Banorte, S.A.B. de C.V.",34.54,-1.29,-3.60%,"20,659","68,214 ",19.665B,7.62 ,-29.46% 
 ENPH   ,"Enphase Energy, Inc.",63.47,-2.36,-3.58%,4.211M,4.738M ,8.575B,137.98 ,-36.45% 
 SPGYF   ,Whitecap Resources Inc.,6.94,-0.25,-3.48%,"25,048","161,006 ",4.081B,6.87 ,9.98% 
 TGTX   ,"TG Therapeutics, Inc.",29.14,-1.04,-3.45%,1.716M,3.02M ,4.536B,- ,93.36% 
 OII   ,"Oceaneering International, Inc.",26.18,-0.93,-3.43%,"689,210","809,908 ",2.646B,19.83 ,29.54% 
 TSLA   ,"Tesla, Inc.",413.82,-14.4,-3.36%,67.119M,93.352M ,1.375T,117.56 ,95.02% 
 WAFD   ,"WaFd, Inc.",31.01,-1.07,-3.34%,1.162M,"466,395 ",2.523B,12.40 ,4.45% 
 TWODY   ,Taylor Wimpey plc,13.45,-0.46,-3.31%,"66,394","166,375 ",4.761B,15.82 ,-36.77% 
 AEO   ,"American Eagle Outfitters, Inc.",15.58,-0.53,-3.29%,5.56M,5.073M ,3.095B,13.79 ,-22.95% 
 WBD   ,"Warner Bros. Discovery, Inc.",9.47,-0.32,-3.27%,20.105M,30.235M ,24.016B,- ,-8.50% 
 VERA   ,"Vera Therapeutics, Inc.",32.78,-1.1,-3.25%,"692,240","775,970 ",2.076B,- ,126.93% 
 RDY   ,Dr. Reddy's Laboratories Limited,14.83,-0.49,-3.20%,2.398M,1.355M ,12.893B,20.04 ,9.22% 
 CDE   ,"Coeur Mining, Inc.",6.19,-0.2,-3.13%,7.012M,10.038M ,2.472B,- ,138.08% 
 SNV   ,Synovus Financial Corp.,54.23,-1.75,-3.13%,2.807M,1.338M ,7.682B,24.65 ,44.11% 
 ON   ,ON Semiconductor Corporation,53.51,-1.72,-3.11%,8.61M,7.144M ,22.784B,13.28 ,-27.56% 
 GRFS   ,"Grifols, S.A.",7.24,-0.23,-3.08%,"903,373",1.024M ,5.785B,30.17 ,7.10% 
 USLM   ,"United States Lime & Minerals, Inc.",121.53,-3.79,-3.02%,"104,840","108,767 ",3.475B,35.23 ,170.33% 
 BMA   ,Banco Macro S.A.,111.63,-3.48,-3.02%,"361,160","315,216 ",8.008B,15.74 ,290.18% 
 FICO   ,Fair Isaac Corporation,"1,969.68",-60.79,-2.99%,"197,803","159,867 ",47.958B,96.04 ,56.30% 
 FUL   ,H.B. Fuller Company,62.22,-1.92,-2.99%,"679,258","315,775 ",3.399B,19.26 ,-18.93% 
 FLG   ,"Flagstar Financial, Inc.",9.20,-0.28,-2.95%,3.671M,6.292M ,3.819B,- ,-69.24% 
 DDOG   ,"Datadog, Inc.",136.79,-4.16,-2.95%,5.656M,4.55M ,46.471B,248.71 ,8.17% 
 PI   ,"Impinj, Inc.",132.51,-4.01,-2.94%,1.597M,"581,350 ",3.748B,145.61 ,42.19% 
 ALAB   ,"Astera Labs, Inc.",127.90,-3.87,-2.94%,4.156M,4.776M ,20.9B,- ,112.43% 
 MRNA   ,"Moderna, Inc.",33.76,-1.01,-2.90%,7.299M,9.014M ,12.991B,- ,-65.13% 
 IONS   ,"Ionis Pharmaceuticals, Inc.",32.28,-0.93,-2.80%,2.141M,1.426M ,5.097B,- ,-36.68% 
 OSCR   ,"Oscar Health, Inc.",14.95,-0.43,-2.80%,2.026M,4.327M ,3.697B,- ,43.34% 
 POWI   ,"Power Integrations, Inc.",60.90,-1.75,-2.79%,"431,871","380,981 ",3.463B,93.69 ,-25.96% 
 BBAR   ,Banco BBVA Argentina S.A.,22.72,-0.65,-2.78%,"602,295","885,113 ",5.234B,24.70 ,333.59% 
 OLYMY   ,Olympus Corporation,14.67,-0.41,-2.72%,"37,490","99,226 ",16.544B,31.21 ,-4.30% 
 HBI   ,Hanesbrands Inc.,8.31,-0.23,-2.69%,5.232M,5.772M ,2.929B,- ,105.69% 
 PARA   ,Paramount Global,10.16,-0.28,-2.68%,14.823M,9.536M ,7.255B,- ,-24.18% 
 PBF   ,PBF Energy Inc.,30.48,-0.83,-2.65%,2.14M,2.222M ,3.509B,- ,-26.71% 
 YPF   ,YPF Sociedad Anónima,43.82,-1.18,-2.62%,2.068M,2.539M ,19.878B,22.13 ,180.36% 
 EGO   ,Eldorado Gold Corporation,14.57,-0.39,-2.61%,2.666M,1.33M ,2.986B,10.33 ,15.27% 
