symbol,name,price,change,percentchange,volume,avgvolume,marketcap,pbyeratio,fiftytwoweekpercentchange
 ELF   ,"e.l.f. Beauty, Inc.",133.91,+5.50,+4.28%,1.358M,2.218M ,7.543B,72.38 ,-18.62% 
 JHX   ,James Hardie Industries plc,34.26,+1.39,+4.23%,"309,002","86,824 ",14.725B,33.92 ,-9.17% 
 COTY   ,Coty Inc.,7.20,+0.29,+4.20%,6.377M,5.186M ,6.263B,40.00 ,-42.89% 
 PAA   ,"Plains All American Pipeline, L.P.",20.16,+0.81,+4.19%,5.159M,3.677M ,14.186B,17.84 ,29.07% 
 NVMI   ,Nova Ltd.,242.33,+9.67,+4.16%,"195,844","212,819 ",7.039B,43.51 ,67.78% 
 FRSH   ,Freshworks Inc.,17.46,+0.69,+4.11%,3.313M,4.229M ,5.288B,- ,-21.05% 
 ONTO   ,Onto Innovation Inc.,213.02,+8.35,+4.08%,"920,942","757,543 ",10.521B,57.57 ,25.66% 
 LRCX   ,Lam Research Corporation,79.22,+3.07,+4.03%,19.108M,11.822M ,101.932B,25.64 ,-4.13% 
 MS   ,Morgan Stanley,135.81,+5.26,+4.03%,13.85M,6.578M ,218.795B,20.64 ,59.14% 
 BE   ,Bloom Energy Corporation,23.56,+0.91,+4.02%,3.004M,8.707M ,5.385B,- ,98.68% 
 QDEL   ,QuidelOrtho Corporation,41.88,+1.61,+4.00%,"922,034","943,029 ",2.817B,- ,-41.30% 
 PAGP   ,"Plains GP Holdings, L.P.",21.49,+0.82,+3.97%,4.053M,1.624M ,5.004B,25.58 ,25.81% 
 CQP   ,"Cheniere Energy Partners, L.P.",61.93,+2.35,+3.94%,"341,594","161,111 ",29.977B,12.88 ,22.80% 
 TSM   ,Taiwan Semiconductor Manufacturing Company Limited,214.79,+7.99,+3.86%,35.818M,13.508M ,1.114T,34.98 ,88.08% 
 IRM   ,Iron Mountain Incorporated,110.25,+4.07,+3.83%,1.832M,1.693M ,32.354B,306.25 ,64.87% 
 BRPHF   ,Galaxy Digital Holdings Ltd.,20.13,+0.74,+3.82%,"39,947","199,655 ",6.852B,6.16 ,205.16% 
 BKH   ,Black Hills Corporation,59.11,+2.16,+3.79%,"510,197","511,680 ",4.231B,16.02 ,17.68% 
 IEP   ,Icahn Enterprises L.P.,9.45,+0.34,+3.73%,2.464M,1.211M ,4.763B,- ,-46.00% 
 AVTR   ,"Avantor, Inc.",22.57,+0.81,+3.72%,4.122M,5.775M ,15.361B,48.02 ,0.83% 
 IRTC   ,"iRhythm Technologies, Inc.",106.99,+3.83,+3.71%,"524,470","492,376 ",3.349B,- ,-5.78% 
 IPAR   ,"Interparfums, Inc.",137.85,+4.92,+3.70%,"113,146","136,734 ",4.415B,29.52 ,1.17% 
 LMND   ,"Lemonade, Inc.",33.00,+1.17,+3.68%,1.755M,2.667M ,2.356B,- ,93.50% 
 KNTK   ,Kinetik Holdings Inc.,64.60,+2.28,+3.66%,"611,851","549,046 ",3.86B,21.75 ,92.35% 
 INSM   ,Insmed Incorporated,72.75,+2.55,+3.63%,2.245M,1.683M ,13.015B,- ,159.82% 
 TRGP   ,Targa Resources Corp.,212.95,+7.45,+3.63%,1.909M,1.704M ,46.437B,38.51 ,158.15% 
 RIVN   ,"Rivian Automotive, Inc.",14.44,+0.50,+3.59%,36.707M,40.274M ,14.738B,- ,-9.95% 
 SYK   ,Stryker Corporation,381.79,+13.18,+3.58%,1.512M,1.297M ,145.544B,40.92 ,21.18% 
 FNMAJ   ,Federal National Mortgage Association,10.72,+0.37,+3.57%,"21,263","71,881 ",14.797B,"1,531.43 ",220.96% 
 BVHMF   ,Vistry Group PLC,7.56,+0.26,+3.56%,"31,589","43,836 ",2.498B,8.22 ,-36.20% 
 TAC   ,TransAlta Corporation,13.69,+0.47,+3.56%,1.821M,1.175M ,4.086B,52.65 ,80.61% 
 RGEN   ,Repligen Corporation,162.85,+5.56,+3.53%,"818,549","575,304 ",9.124B,- ,-8.52% 
 CPRI   ,Capri Holdings Limited,23.78,+0.81,+3.53%,3.181M,5.348M ,2.804B,- ,-52.65% 
 SBAC   ,SBA Communications Corporation,204.18,+6.95,+3.52%,"881,826","893,824 ",21.954B,32.26 ,-11.56% 
 CNH   ,CNH Industrial N.V.,12.05,+0.41,+3.52%,7.092M,10.798M ,15.05B,8.55 ,-0.09% 
 EXC   ,Exelon Corporation,39.34,+1.32,+3.47%,5.044M,6.367M ,39.53B,16.19 ,12.27% 
 KC   ,Kingsoft Cloud Holdings Limited,9.91,+0.33,+3.44%,1.164M,3.636M ,2.353B,- ,261.51% 
 HLNE   ,Hamilton Lane Incorporated,149.59,+4.98,+3.44%,"339,637","409,455 ",8.292B,32.45 ,21.82% 
 TLN   ,Talen Energy Corporation,234.16,+7.77,+3.43%,1.534M,"906,491 ",10.762B,- ,247.76% 
 STVN   ,Stevanato Group S.p.A.,22.91,+0.76,+3.43%,"301,028","465,710 ",6.252B,52.07 ,-21.84% 
 ACHR   ,Archer Aviation Inc.,9.09,+0.30,+3.41%,25.964M,37.459M ,4.56B,- ,73.72% 
 FLS   ,Flowserve Corporation,62.75,+2.07,+3.41%,2.481M,1.253M ,8.244B,30.91 ,54.52% 
 GSHD   ,"Goosehead Insurance, Inc",114.59,+3.76,+3.39%,"208,421","241,566 ",4.113B,159.15 ,46.85% 
 FTAI   ,FTAI Aviation Ltd.,120.00,+3.92,+3.38%,8.445M,1.706M ,12.306B,- ,131.42% 
 BTDR   ,Bitdeer Technologies Group,21.54,+0.70,+3.36%,4.304M,7.793M ,4.146B,- ,225.62% 
 JOBY   ,"Joby Aviation, Inc.",8.37,+0.27,+3.33%,11.357M,20.438M ,6.404B,- ,43.87% 
 ASML   ,ASML Holding N.V.,750.28,+23.98,+3.30%,2.329M,1.749M ,297.153B,41.31 ,-1.00% 
 PPL   ,PPL Corporation,33.17,+1.06,+3.30%,6.655M,4.468M ,24.478B,29.88 ,27.53% 
 TPX   ,"Tempur Sealy International, Inc.",59.54,+1.90,+3.30%,1.796M,1.45M ,10.339B,27.19 ,16.75% 
 CRBG   ,"Corebridge Financial, Inc.",31.70,+1.01,+3.29%,4.976M,3.65M ,17.911B,- ,26.40% 
 HEI-A   ,HEICO Corporation,187.14,+5.92,+3.27%,"363,964","227,329 ",28.661B,50.85 ,35.02% 
 CART   ,Maplebear Inc.,46.58,+1.47,+3.26%,3.29M,4.2M ,11.966B,4.27 ,73.43% 
 VMI   ,"Valmont Industries, Inc.",336.00,+10.60,+3.26%,"167,261","133,416 ",6.732B,22.84 ,46.41% 
 CRSP   ,CRISPR Therapeutics AG,40.30,+1.26,+3.23%,1.612M,1.785M ,3.44B,- ,-37.02% 
 ERJ   ,Embraer S.A.,39.73,+1.24,+3.22%,2.194M,1.059M ,7.297B,14.66 ,129.39% 
 PODD   ,Insulet Corporation,272.86,+8.48,+3.21%,"656,992","564,481 ",19.14B,46.48 ,33.45% 
 BWIN   ,"The Baldwin Insurance Group, Inc.",40.87,+1.27,+3.21%,"408,931","705,156 ",2.762B,- ,54.21% 
 POWL   ,"Powell Industries, Inc.",257.23,+7.99,+3.21%,"220,672","458,268 ",3.102B,20.93 ,220.70% 
