symbol,name,price,change,percentchange,volume,avgvolume,marketcap,pbyeratio,fiftytwoweekpercentchange
 PTGX   ,"Protagonist Therapeutics, Inc.",36.54,-1.40,-3.69%,"630,245","672,456 ",2.178B,13.34 ,53.17% 
 PAM   ,Pampa Energía S.A.,89.01,-3.41,-3.69%,"151,390","277,427 ",5.777B,9.08 ,86.29% 
 STNE   ,StoneCo Ltd.,8.42,-0.32,-3.66%,5.931M,5.425M ,2.499B,8.02 ,-48.68% 
 STNG   ,Scorpio Tankers Inc.,54.42,-2.06,-3.65%,"904,288","994,052 ",2.75B,3.90 ,-16.42% 
 GBOOY   ,"Grupo Financiero Banorte, S.A.B. de C.V.",34.54,-1.29,-3.60%,"20,659","68,214 ",19.665B,7.62 ,-29.46% 
 ENPH   ,"Enphase Energy, Inc.",63.47,-2.36,-3.58%,4.211M,4.738M ,8.575B,137.98 ,-36.45% 
 SPGYF   ,Whitecap Resources Inc.,6.94,-0.25,-3.48%,"25,048","161,006 ",4.081B,6.87 ,9.98% 
 TGTX   ,"TG Therapeutics, Inc.",29.14,-1.04,-3.45%,1.716M,3.02M ,4.536B,- ,93.36% 
 OII   ,"Oceaneering International, Inc.",26.18,-0.93,-3.43%,"689,210","809,908 ",2.646B,19.83 ,29.54% 
 TSLA   ,"Tesla, Inc.",413.82,-14.40,-3.36%,67.119M,93.352M ,1.375T,117.56 ,95.02% 
 WAFD   ,"WaFd, Inc.",31.01,-1.07,-3.34%,1.162M,"466,395 ",2.523B,12.40 ,4.45% 
 TWODY   ,Taylor Wimpey plc,13.45,-0.46,-3.31%,"66,394","166,375 ",4.761B,15.82 ,-36.77% 
 AEO   ,"American Eagle Outfitters, Inc.",15.58,-0.53,-3.29%,5.56M,5.073M ,3.095B,13.79 ,-22.95% 
 WBD   ,"Warner Bros. Discovery, Inc.",9.47,-0.32,-3.27%,20.105M,30.235M ,24.016B,- ,-8.50% 
 VERA   ,"Vera Therapeutics, Inc.",32.78,-1.10,-3.25%,"692,240","775,970 ",2.076B,- ,126.93% 
 RDY   ,Dr. Reddy's Laboratories Limited,14.83,-0.49,-3.20%,2.398M,1.355M ,12.893B,20.04 ,9.22% 
 CDE   ,"Coeur Mining, Inc.",6.19,-0.20,-3.13%,7.012M,10.038M ,2.472B,- ,138.08% 
 SNV   ,Synovus Financial Corp.,54.23,-1.75,-3.13%,2.807M,1.338M ,7.682B,24.65 ,44.11% 
 ON   ,ON Semiconductor Corporation,53.51,-1.72,-3.11%,8.61M,7.144M ,22.784B,13.28 ,-27.56% 
 GRFS   ,"Grifols, S.A.",7.24,-0.23,-3.08%,"903,373",1.024M ,5.785B,30.17 ,7.10% 
 USLM   ,"United States Lime & Minerals, Inc.",121.53,-3.79,-3.02%,"104,840","108,767 ",3.475B,35.23 ,170.33% 
 BMA   ,Banco Macro S.A.,111.63,-3.48,-3.02%,"361,160","315,216 ",8.008B,15.74 ,290.18% 
 FICO   ,Fair Isaac Corporation,"1,969.68",-60.79,-2.99%,"197,803","159,867 ",47.958B,96.04 ,56.30% 
 FUL   ,H.B. Fuller Company,62.22,-1.92,-2.99%,"679,258","315,775 ",3.399B,19.26 ,-18.93% 
 FLG   ,"Flagstar Financial, Inc.",9.20,-0.28,-2.95%,3.671M,6.292M ,3.819B,- ,-69.24% 
 DDOG   ,"Datadog, Inc.",136.79,-4.16,-2.95%,5.656M,4.55M ,46.471B,248.71 ,8.17% 
 PI   ,"Impinj, Inc.",132.51,-4.01,-2.94%,1.597M,"581,350 ",3.748B,145.61 ,42.19% 
 ALAB   ,"Astera Labs, Inc.",127.90,-3.87,-2.94%,4.156M,4.776M ,20.9B,- ,112.43% 
 MRNA   ,"Moderna, Inc.",33.76,-1.01,-2.90%,7.299M,9.014M ,12.991B,- ,-65.13% 
 IONS   ,"Ionis Pharmaceuticals, Inc.",32.28,-0.93,-2.80%,2.141M,1.426M ,5.097B,- ,-36.68% 
 OSCR   ,"Oscar Health, Inc.",14.95,-0.43,-2.80%,2.026M,4.327M ,3.697B,- ,43.34% 
 POWI   ,"Power Integrations, Inc.",60.90,-1.75,-2.79%,"431,871","380,981 ",3.463B,93.69 ,-25.96% 
 BBAR   ,Banco BBVA Argentina S.A.,22.72,-0.65,-2.78%,"602,295","885,113 ",5.234B,24.70 ,333.59% 
 OLYMY   ,Olympus Corporation,14.67,-0.41,-2.72%,"37,490","99,226 ",16.544B,31.21 ,-4.30% 
 HBI   ,Hanesbrands Inc.,8.31,-0.23,-2.69%,5.232M,5.772M ,2.929B,- ,105.69% 
 PARA   ,Paramount Global,10.16,-0.28,-2.68%,14.823M,9.536M ,7.255B,- ,-24.18% 
 PBF   ,PBF Energy Inc.,30.48,-0.83,-2.65%,2.14M,2.222M ,3.509B,- ,-26.71% 
 YPF   ,YPF Sociedad Anónima,43.82,-1.18,-2.62%,2.068M,2.539M ,19.878B,22.13 ,180.36% 
 EGO   ,Eldorado Gold Corporation,14.57,-0.39,-2.61%,2.666M,1.33M ,2.986B,10.33 ,15.27% 
 SMR   ,NuScale Power Corporation,20.28,-0.54,-2.59%,5.941M,11.187M ,2.452B,- ,946.23% 
 SU   ,Suncor Energy Inc.,39.07,-1.04,-2.59%,6.959M,4.185M ,49.115B,9.02 ,24.07% 
 IDEXY   ,"Industria de Diseño Textil, S.A.",25.20,-0.67,-2.59%,"75,942","223,688 ",161.315B,27.39 ,18.42% 
 URBN   ,"Urban Outfitters, Inc.",53.21,-1.41,-2.58%,2.17M,1.812M ,4.91B,15.25 ,33.49% 
 EBR   ,Centrais Elétricas Brasileiras S.A. - Eletrobrás,5.72,-0.15,-2.56%,1.205M,1.543M ,12.404B,7.84 ,-32.71% 
 BBIO   ,"BridgeBio Pharma, Inc.",34.11,-0.89,-2.54%,2.842M,2.224M ,6.615B,- ,-4.48% 
 ACHC   ,"Acadia Healthcare Company, Inc.",41.95,-1.09,-2.53%,1.231M,1.844M ,3.897B,13.75 ,-51.18% 
 MTN   ,"Vail Resorts, Inc.",180.05,-4.67,-2.53%,1.137M,"556,040 ",6.741B,29.71 ,-19.32% 
 NE   ,Noble Corporation plc,33.76,-0.87,-2.51%,1.702M,1.878M ,5.415B,9.93 ,-20.70% 
 ASTS   ,"AST SpaceMobile, Inc.",21.00,-0.54,-2.51%,3.294M,8.725M ,6.241B,- ,597.09% 
